31_no,31_date,31_requisitioner,31_gene_bank_id,31_tax_name,31_family,31_order,31_genus2,31_species3,31_functional_group,31_ciat_id,31_set_ciat,31_batch,31_run,31_replication,31_syrangue_no,31_sample_weight_g,31_dm_incubated_mg,31_digested_feed_mg,31_time_0h,31_gas_0h_ml,31_time_8h,31_gas_8h_ml,31_ch4_8h_percentage,31_v8_push_back_ml,31_time_24h,31_gas_24h_ml,31_ch4_24h_percentage,31_remarks_1,31_gp_8h_ml,31_gp_8_24h_ml,31_net_gas_8h_ml,31_net_gas_8_24h_ml2,31_net_gas_24h_ml,31_ch4_8h_ml,31_ch4_8_24h_ml,31_ch4_24h_ml,31_gas_ml_g_dm_incubated_24h,31_percentage_dmd_truly_digestibility,31_part_fact,31_ch4_ml_in_gas_8h,31_ch4_ml_in_gas_24h,31_ch4_ml_g_dm_incubated_24h,31_ch4_ml_g_dmd_24h,31_ch4_ml_g_ndf_digested_in_24h,31_ch4_g_g_dm_incubated_24h,31_ch4_g_g_dmd_24h,31_column8
No,Date,Requisitioner,Gene Bank ID,Tax Name,Family,Order,Genus2,Species3,Functional Group,CIAT ID,Set CIAT,Batch,Run,Replication,Syrange No,"Sample weight, g","DM Incubated, mg","Digested feed, mg",Time 0h,"Gas 0h, ml",Time 8h,"Gas 8h, ml",CH4 8h %,"V8 Push back, ml",Time 24h,"Gas 24h, ml","CH4 24h, %",Remarks,"GP 8h, ml","GP 8-24h, ml","Net gas 8h, ml","Net gas 8-24h, ml2","Net gas 24h, ml","CH4 8h, ml","CH4 8-24h, ml","CH4 24h, ml","Gas ml/g DM Incubated, 24h","% DMD, Truly digestibility",Part Fact,"CH4 ml in gas, h8","CH4 ml in gas, 24h","CH4 ml/gDM incubated, 24h","CH4 ml/g DMD, 24h",CH4 ml/g NDF digested in 24 h,"CH4 g/g DM incubated, 24h","CH4 g/g DMD, 24h",Column8
1,45923,,BLANK 24 H,BLANK 24 H,BLANK 24 H,BLANK 24 H,BLANK 24 H,BLANK 24 H,BLANK 24 H,BLANK 24 H,23,46,1,1,1,,,0,0.341666667,40,0.666666667,43,,40,0.3375,44,,,3,4,,,,,,,,,,,,,,,,,
2,45923,,BLANK 24 H,BLANK 24 H,BLANK 24 H,BLANK 24 H,BLANK 24 H,BLANK 24 H,BLANK 24 H,BLANK 24 H,23,46,1,2,2,,,0,0.342361111,40,0.666666667,43.5,,40,0.3375,44.5,,,3.5,4.5,,,,,,,,,,,,,,,,,
3,45923,Genebank,ABC-1467-1,Stylosanthes hamata,Stylosanthes,hamata,Fabaceae,Fabales,Herbaceous,F243540,23,46,1,1,3,0.5,463.075,283.075,0.343055556,40,0.666666667,94,12.7,40,0.338194444,93,16,,54,53,50.91722647,49.53372354,100.45095,6.466487761,7.925395766,14.39188353,216.921557,61.12940668,2.818042039,12.7,14.32727468,31.07894731,50.84123828,235.4330642,17.24935346,28.21776685,
4,45923,Genebank,ABC-1467-1,Stylosanthes hamata,Stylosanthes,hamata,Fabaceae,Fabales,Herbaceous,F243540,23,46,1,2,4,0.5,463.075,463.075,0.343055556,41,0.667361111,94.5,13.4,41,0.338888889,93,16.3,,53.5,52,50.41722647,48.53372354,98.95095,6.755908346,7.910996937,14.66690528,213.6823409,0,4.679843902,13.4,14.82239967,31.67285058,31.67285058,#DIV/0!,17.57898005,17.57898005,
5,45923,Genebank,ABC-1467-1,Stylosanthes hamata,Stylosanthes,hamata,Fabaceae,Fabales,Herbaceous,F243540,23,46,1,3,5,0.5002,463.26023,291.26023,0.34375,40.5,0.668055556,95.5,13.4,40,0.339583333,93.5,16.2,,55,53.5,51.91722647,50.03372354,101.95095,6.956908346,8.105463213,15.06237156,220.072744,62.87183987,2.856866267,13.4,14.77413556,32.51384553,51.71448076,239.5726225,18.04574679,28.70243153,
6,45923,Genebank,ABC-1475-1,Stylosanthes hamata,Stylosanthes,hamata,Fabaceae,Fabales,Herbaceous,F243541,23,46,1,1,6,0.5,453.95,250.95,0.34375,40.5,0.669444444,96,13.3,41,0.340277778,88,16.5,,55.5,47,52.41722647,43.53372354,95.95095,6.97149112,7.183064384,14.1545555,211.3689834,55.28141866,2.615398805,13.3,14.75186593,31.18086905,56.40388724,256.0454461,17.30592178,31.30513327,
7,45923,Genebank,ABC-1475-1,Stylosanthes hamata,Stylosanthes,hamata,Fabaceae,Fabales,Herbaceous,F243541,23,46,1,2,7,0.5005,454.40395,276.40395,0.344444444,41,0.669444444,95.5,13.3,41,0.340277778,88,16.8,,54.5,47,51.41722647,43.53372354,94.95095,6.83849112,7.313665554,14.15215667,208.9571405,60.8278053,2.911018268,13.3,14.90470256,31.14444026,51.20099287,232.6593341,17.28570318,28.41743688,
8,45923,Genebank,ABC-1475-1,Stylosanthes hamata,Stylosanthes,hamata,Fabaceae,Fabales,Herbaceous,F243541,23,46,1,3,8,0.5,453.95,259.95,0.344444444,41,0.670138889,93.5,13.3,41,0.340972222,88,16.5,,52.5,47,49.41722647,43.53372354,92.95095,6.57249112,7.183064384,13.7555555,204.760326,57.26401586,2.79663629,13.3,14.79872503,30.30191762,52.91615889,240.2129033,16.81808853,29.36938369,
9,45923,Genebank,ABC-23326,Desmodium velutinum,Desmodium,velutinum,Fabaceae,Fabales,Shrub,F25-0954,23,46,1,1,9,0.5002,479.39168,296.39168,0.345138889,40.5,0.670833333,93.5,14.4,40,0.341666667,74.5,19,,53,34.5,49.91722647,31.03372354,80.95095,7.188080611,5.896407472,13.08448808,168.8618167,61.82662161,3.661373708,14.4,16.16347687,27.29394069,44.14593582,211.6319434,15.1486093,24.50175815,
10,45923,Genebank,ABC-23326,Desmodium velutinum,Desmodium,velutinum,Fabaceae,Fabales,Shrub,F25-0954,23,46,1,2,10,0.5,479.2,305.2,0.345833333,40.5,0.671527778,91,14.9,40,0.342361111,73.5,18.9,,50.5,33.5,47.41722647,30.03372354,77.45095,7.065166743,5.676373749,12.74154049,161.6255217,63.68948247,3.940558508,14.9,16.45110937,26.58919134,41.74816675,200.0572151,14.75746122,23.17095483,
11,45923,Genebank,ABC-23326,Desmodium velutinum,Desmodium,velutinum,Fabaceae,Fabales,Shrub,F25-0954,23,46,1,3,11,0.5002,479.39168,292.39168,0.345833333,40.5,0.671527778,91,15,40.5,0.342361111,74,19.1,,50.5,33.5,47.41722647,30.03372354,77.45095,7.11258397,5.736441196,12.84902517,161.5608974,60.99223082,3.775185198,15,16.5898871,26.80277047,43.94456493,210.6665881,14.87600133,24.38999382,
12,45923,Genebank,ABC-13149,Desmodium strigillosum,Desmodium,strigillosum,Fabaceae,Fabales,Herbaceous,F25-0971,23,46,1,1,12,0.5006,469.43765,225.43765,0.346527778,41.5,0.672222222,83.5,13.3,41,0.343055556,74,15.9,,42,33,38.91722647,29.53372354,68.45095,5.17599112,4.695862043,9.871853163,145.814785,48.02291636,3.293418864,13.3,14.42179131,21.029104,43.78972706,205.5654657,11.67151654,24.30405613,
13,45923,Genebank,ABC-13149,Desmodium strigillosum,Desmodium,strigillosum,Fabaceae,Fabales,Herbaceous,F25-0971,23,46,1,2,13,0.5001,468.968775,222.968775,0.346527778,41.5,0.672222222,82.5,12.9,41,0.34375,74.5,15.6,,41,33.5,37.91722647,30.03372354,67.95095,4.891322214,4.685260872,9.576583086,144.8944016,47.54448204,3.281319466,12.9,14.0933763,20.42051326,42.95033278,201.4236495,11.33373815,23.83817778,
14,45923,Genebank,ABC-13149,Desmodium strigillosum,Desmodium,strigillosum,Fabaceae,Fabales,Herbaceous,F25-0971,23,46,1,3,14,0.5005,469.343875,223.343875,0.346527778,41,0.672916667,82.5,13.3,40,0.34375,72.5,15.7,,41.5,32.5,38.41722647,29.03372354,67.45095,5.10949112,4.558294596,9.667785716,143.7132849,47.58640453,3.31120429,13.3,14.33306086,20.59851258,43.28654957,203.1627691,11.43253086,24.02478391,
15,45923,Genebank,ABC-13946,Desmodium sequax,Desmodium,sequax,Fabaceae,Fabales,Herbaceous,F25-0974,23,46,1,1,15,0.5001,469.218825,103.218825,0.347222222,41,0.673611111,61,12,40,0.344444444,50,15.2,,20,10,16.91722647,6.533723539,23.45095,2.030067176,0.993125978,3.023193154,49.97870664,21.99801447,4.401477338,12,12.89155942,6.443034663,29.28916459,137.4302739,3.575995709,16.25599308,
16,45923,Genebank,ABC-13946,Desmodium sequax,Desmodium,sequax,Fabaceae,Fabales,Herbaceous,F25-0974,23,46,1,2,16,0.5002,469.31265,128.31265,0.347222222,41,0.673611111,62,11.7,40,0.345138889,50,14.1,,21,10,17.91722647,6.533723539,24.45095,2.096315497,0.921255019,3.017570516,52.09949062,27.34054793,5.247757244,11.7,12.34132218,6.42976599,23.51732674,110.3697894,3.568631366,13.05252322,
17,45923,Genebank,ABC-13946,Desmodium sequax,Desmodium,sequax,Fabaceae,Fabales,Herbaceous,F25-0974,23,46,1,3,17,0.5002,469.31265,109.31265,0.347222222,41,0.674305556,62,11.8,40,0.345833333,50.5,13.8,,21,10.5,17.91722647,7.033723539,24.95095,2.114232723,0.970653848,3.084886571,53.16487848,23.29207406,4.381101721,11.8,12.36380407,6.573201407,28.22076467,132.4436185,3.648240504,15.66301264,
18,45923,Genebank,ABC-19867,Uraria lagopodioides,Uraria,lagopodioides,Fabaceae,Fabales,Herbaceous,F25-0980,23,46,1,1,18,0.5003,479.7877,283.7877,0.347916667,40.5,0.674305556,88,15.3,40.5,0.345833333,73.5,18,,47.5,33,44.41722647,29.53372354,73.95095,6.795835649,5.316070237,12.11190589,154.1326508,59.14859843,3.837512567,15.3,16.37829654,25.24430261,42.67946034,204.7708011,14.0110247,23.68783889,
19,45923,Genebank,ABC-19867,Uraria lagopodioides,Uraria,lagopodioides,Fabaceae,Fabales,Herbaceous,F25-0980,23,46,1,2,19,0.5,479.5,182.5,0.347916667,40.5,0.675,86.5,15.6,40,0.346527778,74.5,17.7,,46,34.5,42.91722647,31.03372354,73.95095,6.695087329,5.492969066,12.1880564,154.2251304,38.06047967,2.467852002,15.6,16.48127089,25.41826151,66.78387066,320.2286598,14.1075749,37.06620365,
20,45923,Genebank,ABC-19867,Uraria lagopodioides,Uraria,lagopodioides,Fabaceae,Fabales,Herbaceous,F25-0980,23,46,1,3,20,0.5002,479.6918,259.6918,0.347916667,40.5,0.675694444,88.5,15.5,40,0.347916667,74,17.8,,48,34,44.91722647,30.53372354,75.45095,6.962170102,5.43500279,12.39717289,157.2904728,54.13721894,3.441862561,15.5,16.43077111,25.84403755,47.73802212,228.9953776,14.34388797,26.49542819,
21,45923,Genebank,CIAT-798,Galactia striata,Galactia,striata,Fabaceae,Fabales,Climber,F25-1651,23,46,1,1,21,0.5,463.0629007,263.0629007,0.348611111,42,0.676388889,90,12.8,40,0.347916667,91,16,,48,51,44.91722647,47.53372354,92.45095,5.749404988,7.605395766,13.35480075,199.6509543,56.80932338,2.845432099,12.8,14.44528234,28.84014404,50.76656845,235.0811444,16.0067789,28.1763238,
22,45923,Genebank,CIAT-798,Galactia striata,Galactia,striata,Fabaceae,Fabales,Climber,F25-1651,23,46,1,2,22,0.5002,463.2481258,230.2481258,0.348611111,40.5,0.677083333,90,12.6,40,0.348611111,93.5,15.6,,49.5,53.5,46.41722647,50.03372354,96.45095,5.848570535,7.805260872,13.65383141,208.2058073,49.70298054,2.387204334,12.6,14.15624357,29.4741212,59.30051051,274.7085036,16.3586472,32.91280929,
23,45923,Genebank,CIAT-798,Galactia striata,Galactia,striata,Fabaceae,Fabales,Climber,F25-1651,23,46,1,3,23,0.5,463.0629007,290.0629007,0.348611111,41,0.677083333,91.5,12.7,40,0.349305556,91.5,15.9,,50.5,51.5,47.41722647,48.03372354,95.45095,6.021987761,7.637362043,13.6593498,206.1295558,62.64006472,3.038868662,12.7,14.31033405,29.49782801,47.09099224,218.0609146,16.37180489,26.13631541,
24,45923,Genebank,CIAT-822,Calopogonium mucunoides,Calopogonium,mucunoides,Fabaceae,Fabales,Climber,F25-1652,23,46,1,1,24,0.5001,470.3544659,260.3544659,0.349305556,41,0.677777778,90.5,13.6,41,0.35,79,15.9,,49.5,38,46.41722647,34.53372354,80.95095,6.312742799,5.490862043,11.80360484,172.1062643,55.35282107,3.216200253,13.6,14.58118137,25.09512655,45.33667131,213.2430582,13.9282294,25.16263695,
25,45923,Genebank,CIAT-822,Calopogonium mucunoides,Calopogonium,mucunoides,Fabaceae,Fabales,Climber,F25-1652,23,46,1,2,25,0.5002,470.4485179,259.4485179,0.349305556,40.5,0.678472222,90,13.6,40,0.35,79,15.7,,49.5,39,46.41722647,35.53372354,81.95095,6.312742799,5.578794596,11.89153739,174.1974879,55.14918382,3.165900065,13.6,14.51055466,25.2770217,45.83389988,215.6249027,14.02918436,25.43860741,
26,45923,Genebank,CIAT-822,Calopogonium mucunoides,Calopogonium,mucunoides,Fabaceae,Fabales,Climber,F25-1652,23,46,1,3,26,0.5002,470.4485179,255.4485179,0.35,41,0.679166667,91.5,13.4,41,0.350694444,79.5,16.2,,50.5,38.5,47.41722647,35.03372354,82.45095,6.353908346,5.675463213,12.02937156,175.2603034,54.29893138,3.098187685,13.4,14.58973069,25.57000628,47.09117773,221.5397477,14.19179587,26.13641837,
27,45923,Genebank,CIAT-852,Dioclea sericea,Dioclea,sericea,Fabaceae,Fabales,Climber,F25-1653,23,46,1,1,27,0.5001,468.9358939,121.9358939,0.35,41.5,0.679166667,67,12.1,40,0.351388889,62,14,,25.5,22,22.41722647,18.53372354,40.95095,2.712484402,2.594721295,5.307205698,87.32739493,26.00267873,2.97760843,12.1,12.95990862,11.31755058,43.52455644,204.1022678,6.281436377,24.15688185,
28,45923,Genebank,CIAT-852,Dioclea sericea,Dioclea,sericea,Fabaceae,Fabales,Climber,F25-1653,23,46,1,2,28,0.5001,468.9358939,151.9358939,0.35,41.5,0.679861111,66.5,11.9,40,0.352083333,62,13.7,,25,22,21.91722647,18.53372354,40.45095,2.608149949,2.539120125,5.147270074,86.2611511,32.40014166,3.75605255,11.9,12.72471987,10.97648984,33.87790693,158.8656657,6.092141765,18.80282447,
29,45923,Genebank,CIAT-852,Dioclea sericea,Dioclea,sericea,Fabaceae,Fabales,Climber,F25-1653,23,46,1,3,29,0.5001,468.9358939,126.9358939,0.350694444,41.5,0.680555556,67.5,11.8,40,0.352777778,62.5,13.5,,26,22.5,22.91722647,19.03372354,41.95095,2.704232723,2.569552678,5.273785401,89.45988257,27.06892255,3.02581691,11.8,12.5713134,11.24628221,41.54684099,194.8280502,6.241881198,23.05921555,
30,45923,Genebank,CIAT-907,Dioclea virgata,Dioclea,virgata,Fabaceae,Fabales,Climber,F25-1654,23,46,1,1,30,0.5004,465.2091654,232.2091654,0.350694444,40.5,0.68125,77.5,13.7,41,0.353472222,84.5,15.8,,37,43.5,33.91722647,40.03372354,73.95095,4.646660026,6.325328319,10.97198834,158.9627967,49.91500226,3.140043034,13.7,14.8368457,23.58506487,47.25045337,219.8134398,13.09011905,26.2248191,
31,45923,Genebank,CIAT-907,Dioclea virgata,Dioclea,virgata,Fabaceae,Fabales,Climber,F25-1654,23,46,1,2,31,0.5004,465.2091654,238.2091654,0.350694444,40,0.68125,74.5,13.8,39.5,0.353472222,81,16.1,,34.5,41.5,31.41722647,38.03372354,69.45095,4.335577252,6.12342949,10.45900674,149.2897285,51.20474469,3.42989067,13.8,15.05955893,22.48237464,43.90681913,204.2585468,12.47810689,24.36904425,
32,45923,Genebank,CIAT-907,Dioclea virgata,Dioclea,virgata,Fabaceae,Fabales,Climber,F25-1654,23,46,1,3,32,0.5,464.8372956,212.8372956,0.351388889,40.5,0.681944444,76.5,13.3,40,0.354166667,83,16.1,,36,43,32.91722647,39.53372354,72.45095,4.37799112,6.36492949,10.74292061,155.8630314,45.78748255,2.937674324,13.3,14.82785334,23.11114171,50.4748032,234.6257102,12.82708349,28.01438904,
33,45923,Genebank,CIAT-1992,Stylosanthes guianensis,Stylosanthes,guianensis,Fabaceae,Fabales,Herbaceous,F25-1655,23,46,1,1,33,0.5003,462.6089295,252.6089295,0.351388889,40,0.682638889,83,12,40,0.354166667,86,14.2,,43,46,39.91722647,42.53372354,82.45095,4.790067176,6.039788742,10.82985592,178.230347,54.6052861,3.063747955,12,13.13490738,23.410391,42.87202334,198.3298082,12.99317203,23.79471468,
34,45923,Genebank,CIAT-1992,Stylosanthes guianensis,Stylosanthes,guianensis,Fabaceae,Fabales,Herbaceous,F25-1655,23,46,1,2,34,0.5004,462.7013958,259.7013958,0.351388889,40,0.682638889,83.5,11.8,40,0.354861111,86,14.3,,43.5,46,40.41722647,42.53372354,82.95095,4.769232723,6.082322466,10.85155519,179.2753399,56.12721253,3.130782658,11.8,13.0818938,23.45260958,41.78473957,193.3385732,13.01660407,23.19125338,
35,45923,Genebank,CIAT-1992,Stylosanthes guianensis,Stylosanthes,guianensis,Fabaceae,Fabales,Herbaceous,F25-1655,23,46,1,3,35,0.5,462.3315305,271.3315305,0.352083333,40,0.683333333,84.5,11.8,40,0.355555556,87,14.3,,44.5,47,41.41722647,43.53372354,84.95095,4.887232723,6.225322466,11.11255519,183.7446603,58.68765434,3.193978767,11.8,13.08114293,24.03590163,40.95563522,189.3508152,13.34034125,22.73108612,
36,45923,Genebank,CIAT-3001,Codariocalyx gyroides,Codariocalyx,gyroides,Fabaceae,Fabales,Shrub,F25-1656,23,46,1,1,36,0.5001,472.5736401,170.5736401,0.352083333,40.5,0.684027778,72.5,13,41,0.355555556,74,14.8,,32,33,28.91722647,29.53372354,58.45095,3.759239441,4.370991084,8.130230524,123.6864375,36.09461588,2.918235548,13,13.90949253,17.20415578,47.66405007,225.2477365,9.54860411,26.45437243,
37,45923,Genebank,CIAT-3001,Codariocalyx gyroides,Codariocalyx,gyroides,Fabaceae,Fabales,Shrub,F25-1656,23,46,1,2,37,0.5003,472.7626318,199.7626318,0.352083333,41.5,0.684722222,75.5,12.3,41,0.35625,75,15.1,,34,34,30.91722647,30.53372354,61.45095,3.802818855,4.610592254,8.41341111,129.9826718,42.25431926,3.250765558,12.3,13.69126288,17.7962693,42.11704178,199.1136352,9.877237355,23.37568686,
38,45923,Genebank,CIAT-3001,Codariocalyx gyroides,Codariocalyx,gyroides,Fabaceae,Fabales,Shrub,F25-1656,23,46,1,3,38,0.5001,472.5736401,206.5736401,0.352777778,41,0.684722222,75.5,12.5,41,0.356944444,75,15.1,,34.5,34,31.41722647,30.53372354,61.95095,3.927153308,4.610592254,8.537745563,131.0926906,43.71247623,3.334470902,12.5,13.78146027,18.06648708,41.33027601,195.3159898,10.0272129,22.93901824,
39,45923,Genebank,CIAT-3304,Desmodium cajanifolium,Desmodium,cajanifolium,Fabaceae,Fabales,Shrub,F25-1657,23,46,1,1,39,0.5002,474.7436484,294.7436484,0.352777778,41,0.685416667,103,13.4,41.5,0.356944444,83,16.1,,62,41.5,58.91722647,38.03372354,96.95095,7.894908346,6.12342949,14.01833784,204.2174768,62.0848008,3.040131617,13.4,14.45920626,29.5282262,47.56111934,225.7933932,16.38867641,26.39724409,
40,45923,Genebank,CIAT-3304,Desmodium cajanifolium,Desmodium,cajanifolium,Fabaceae,Fabales,Shrub,F25-1657,23,46,1,2,40,0.5,474.5538269,357.5538269,0.352777778,40.5,0.686111111,102,13.3,41,0.357638889,81.5,16.5,,61.5,40.5,58.41722647,37.03372354,95.45095,7.76949112,6.110564384,13.8800555,201.1383,75.34526257,3.745943093,13.3,14.54155826,29.24864308,38.81948524,184.2193528,16.23350294,21.54548592,
41,45923,Genebank,CIAT-3304,Desmodium cajanifolium,Desmodium,cajanifolium,Fabaceae,Fabales,Shrub,F25-1657,23,46,1,3,41,0.5,474.5538269,291.5538269,0.352777778,40.5,0.686805556,102.5,13.3,41.5,0.358333333,83.5,16.2,Derrame en parte superior embolo,62,42,58.91722647,38.53372354,97.45095,7.83599112,6.242463213,14.07845433,205.3527851,61.43746196,2.991800766,13.3,14.44670815,29.66671753,48.28766779,229.1509754,16.46554149,26.80049105,
42,45923,Genebank,CIAT-5713,Centrosema macrocarpum,Centrosema,macrocarpum,Fabaceae,Fabales,Climber,F25-1658,23,46,1,1,42,0.5003,473.4959917,260.4959917,0.353472222,41,0.686805556,93,13.7,41.5,0.359027778,83,16.6,,52,41.5,48.91722647,38.03372354,86.95095,6.701660026,6.313598107,13.01525813,183.6360846,55.01545869,2.995895867,13.7,14.96850596,27.48757827,49.96337198,236.5745636,15.2560815,27.73053586,
43,45923,Genebank,CIAT-5713,Centrosema macrocarpum,Centrosema,macrocarpum,Fabaceae,Fabales,Climber,F25-1658,23,46,1,2,43,0.5002,473.4013493,264.4013493,0.353472222,40.5,0.6875,92,13.3,41,0.359027778,84.5,16.1,,51.5,43.5,48.41722647,40.03372354,88.45095,6.43949112,6.44542949,12.88492061,186.8413559,55.85141439,2.989242618,13.3,14.56730607,27.21775218,48.73243137,230.6999877,15.10632336,27.04734253,
44,45923,Genebank,CIAT-5713,Centrosema macrocarpum,Centrosema,macrocarpum,Fabaceae,Fabales,Climber,F25-1658,23,46,1,3,44,0.5002,473.4013493,251.4013493,0.354166667,40.5,0.688194444,94.5,13.6,42,0.359722222,85,16.1,,54,43,50.91722647,39.53372354,90.45095,6.924742799,6.36492949,13.28967229,191.066101,53.10533011,2.779421878,13.6,14.69268403,28.07273851,52.86237454,250.2511944,15.58085556,29.33953245,
45,45923,Genebank,CIAT-7381,Galactia glaucescens,Galactia,glaucescens,Fabaceae,Fabales,Herbaceous,F25-1659,23,46,1,1,45,0.5001,472.4488646,142.4488646,0.354166667,43,0.688888889,72.5,12.3,41.5,0.360416667,70,16.2,,29.5,28.5,26.41722647,25.03372354,51.45095,3.249318855,4.055463213,7.304782069,108.9026853,30.1511709,2.768634292,12.3,14.197565,15.46152953,51.28003014,242.2719202,8.581416387,28.46130393,
46,45923,Genebank,CIAT-7381,Galactia glaucescens,Galactia,glaucescens,Fabaceae,Fabales,Herbaceous,F25-1659,23,46,1,2,46,0.5002,472.5433354,153.5433354,0.354166667,42.5,0.689583333,71,12.3,41,0.360416667,70,16.2,,28.5,29,25.41722647,25.53372354,50.95095,3.126318855,4.136463213,7.262782069,107.8228094,32.49296391,3.013551964,12.3,14.25445859,15.36955772,47.3011873,223.5186082,8.530370443,26.25297731,
47,45923,Genebank,CIAT-7381,Galactia glaucescens,Galactia,glaucescens,Fabaceae,Fabales,Herbaceous,F25-1659,23,46,1,3,47,0.5002,472.5433354,186.5433354,0.354861111,42,0.690277778,71,12.8,41.5,0.361111111,71,16,,29,29.5,25.91722647,26.03372354,51.95095,3.317404988,4.165395766,7.482800754,109.9390175,39.4764504,3.590758887,12.8,14.40358791,15.83516303,40.11293535,189.5510026,8.788789445,22.26337311,
48,45923,Genebank,CIAT-7799,Dioclea guianensis,Dioclea,guianensis,Fabaceae,Fabales,Climber,F25-1660,23,46,1,1,48,0.5,467.3146552,122.3146552,0.354861111,41,0.690972222,67.5,12.3,40,0.361805556,67,14.2,,26.5,27,23.41722647,23.53372354,46.95095,2.880318855,3.341788742,6.222107598,100.4696717,26.17393951,2.605158259,12.3,13.25235719,13.31459976,50.86968187,237.7214784,7.389833226,28.23355354,
49,45923,Genebank,CIAT-7799,Dioclea guianensis,Dioclea,guianensis,Fabaceae,Fabales,Climber,F25-1660,23,46,1,2,49,0.5004,467.6885069,148.6885069,0.355555556,40.5,0.690972222,66.5,12.4,40,0.3625,67,13.7,,26,27,22.91722647,23.53372354,46.45095,2.841736082,3.224120125,6.065856207,99.32027261,31.79220886,3.200978815,12.4,13.0586268,12.96986374,40.79573016,190.7969413,7.198498767,22.64233605,
50,45923,Genebank,CIAT-7799,Dioclea guianensis,Dioclea,guianensis,Fabaceae,Fabales,Climber,F25-1660,23,46,1,3,50,0.5002,467.5015811,126.5015811,0.355555556,41.5,0.691666667,68,12.1,41,0.367361111,67,13.7,,26.5,26,23.41722647,22.53372354,45.95095,2.833484402,3.087120125,5.920604527,98.29046974,27.05907021,2.752969874,12.1,12.88461833,12.66435188,46.80261288,218.8029552,7.0289344,25.97625988,
51,45923,,BLANK 8H,BLANK 8H,BLANK 8H,BLANK 8H,BLANK 8H,BLANK 8H,BLANK 8H,BLANK 8H,23,46,1,1,51,-,,0,0.35625,39.5,0.692361111,42.5,,,,,,,3,4,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,
52,45923,,BLANK 8H,BLANK 8H,BLANK 8H,BLANK 8H,BLANK 8H,BLANK 8H,BLANK 8H,BLANK 8H,23,46,1,2,52,-,,0,0.35625,39.5,0.692361111,43,,,,,,,3.5,4,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,
53,45923,Genebank,CIAT-7803,Dioclea holtiana,Dioclea,holtiana,Fabaceae,Fabales,Climber,F25-1661,23,46,1,1,53,0.5004,471.589932,178.589932,0.35625,42,0.693055556,72.5,11.5,40.5,0.363888889,67,13.7,,30.5,26.5,27.41722647,23.03372354,50.45095,3.152981044,3.155620125,6.308601168,106.9805494,37.86975079,3.539872529,11.5,12.50442493,13.37730248,35.32450625,166.586815,7.42463432,19.60571212,
54,45923,Genebank,CIAT-7803,Dioclea holtiana,Dioclea,holtiana,Fabaceae,Fabales,Climber,F25-1661,23,46,1,2,54,0.5002,471.4014468,195.4014468,0.356944444,41,0.69375,70,11.9,40.5,0.364583333,67.5,13.4,,29,27,25.91722647,23.53372354,49.45095,3.084149949,3.153518954,6.237668904,104.9019903,41.45117672,3.951419472,11.9,12.6138505,13.23218023,31.92232712,150.4823119,7.344088957,17.71744384,
55,45923,Genebank,CIAT-7803,Dioclea holtiana,Dioclea,holtiana,Fabaceae,Fabales,Climber,F25-1661,23,46,1,3,55,0.5001,471.3072042,158.3072042,0.356944444,41,0.69375,70,11.4,40,0.365277778,65,13.5,,29,25,25.91722647,21.53372354,47.45095,2.954563817,2.907052678,5.861616495,100.6794498,33.58896337,3.33622834,11.4,12.35300135,12.43693379,37.02684616,174.5101934,6.902713427,20.55054022,
56,45923,Genebank,CIAT-8182,Eriosema diffusum,Eriosema,diffusum,Fabaceae,Fabales,Herbaceous,F25-1662,23,46,1,1,56,0.5005,467.0818362,101.0818362,0.356944444,42,0.694444444,74,12.8,40,0.365972222,63.5,15.8,,32,23.5,28.91722647,20.03372354,48.95095,3.701404988,3.165328319,6.866733307,104.8016562,21.64114045,2.064961685,12.8,14.02778354,14.70134947,67.93241561,317.2999742,8.159503307,37.70366596,
57,45923,Genebank,CIAT-8182,Eriosema diffusum,Eriosema,diffusum,Fabaceae,Fabales,Herbaceous,F25-1662,23,46,1,2,57,0.5004,466.9885132,126.9885132,0.357638889,41.5,0.695138889,72.5,13,40,0.365972222,64,16.4,,31,24,27.91722647,20.53372354,48.45095,3.629239441,3.36753066,6.996770101,103.7519096,27.19306997,2.620970551,13,14.4409348,14.98274562,55.09766141,257.2997498,8.315683037,30.58015533,
58,45923,Genebank,CIAT-8182,Eriosema diffusum,Eriosema,diffusum,Fabaceae,Fabales,Herbaceous,F25-1662,23,46,1,3,58,0.5006,467.1751592,117.1751592,0.357638889,41,0.695833333,73.5,12.7,40,0.366666667,63.5,16.3,,32.5,23.5,29.41722647,20.03372354,49.45095,3.735987761,3.265496937,7.001484698,105.8509834,25.08163307,2.369522916,12.7,14.15844326,14.98685142,59.75229514,279.14788,8.317961825,33.16355758,
59,45923,Genebank,CIAT-8434,Dioclea sericea,Dioclea,sericea,Fabaceae,Fabales,Climber,F25-1663,23,46,1,1,59,0.5005,468.0474609,231.0474609,0.358333333,42,0.696527778,86.5,13.7,40.5,0.367361111,74,16.7,,44.5,33.5,41.41722647,30.03372354,71.45095,5.674160026,5.015631831,10.68979186,152.6574888,49.36410946,3.23365135,13.7,14.96102131,22.83911943,46.26664935,216.5498775,12.67610642,25.67879085,
