subset,no,requisitioner,id_lab,id,tax_order,family,genus,species,tax_name,functional_group,set_ciat,dm_percentage,ash_dm,om_percentage,pc_percentage_dm,adf_percentage_dm,ndf_percentage_dm
1,1,Genetic bank,F24-3416,ABC-705,Fabales,Fabaceae,Indigofera,suffruticosa,Indigofera suffruticosa,Herbaceous_legumes,1,91.93080692,12.72569067,87.27430933,33.01052157,28.48961421,45.21032889
1,2,Genetic bank,F24-3416,ABC-705,Fabales,Fabaceae,Indigofera,suffruticosa,Indigofera suffruticosa,Herbaceous_legumes,1,92.01,12.62906206,87.37093794,33.01052157,27.61265655,45.23511907
1,3,Genetic bank,F24-3417,ABC-707,Fabales,Fabaceae,Alysicarpus,ovalifolius,Alysicarpus ovalifolius,Herbaceous_legumes,1,90.64280716,11.91132679,88.08867321,25.39749175,26.19631971,54.55645373
1,4,Genetic bank,F24-3417,ABC-707,Fabales,Fabaceae,Alysicarpus,ovalifolius,Alysicarpus ovalifolius,Herbaceous_legumes,1,89.54209158,12.23760607,87.76239393,25.39749175,24.68485778,53.66007735
1,5,Genetic bank,F24-3418,ABC-712,Fabales,Fabaceae,Clitoria,ternatea,Clitoria ternatea,Herbaceous_legumes,1,91.25174965,7.71337789,92.28662211,31.19171324,26.67696802,55.20337963
1,6,Genetic bank,F24-3418,ABC-712,Fabales,Fabaceae,Clitoria,ternatea,Clitoria ternatea,Herbaceous_legumes,1,91.35345862,7.812670971,92.18732903,31.19171324,24.97049736,54.55443293
1,7,Genetic bank,F24-3419,ABC-749,Fabales,Fabaceae,Crotalaria,juncea,Crotalaria juncea,Herbaceous_legumes,1,91.70082992,11.46003707,88.53996293,27.94809909,28.03361032,52.76025243
1,8,Genetic bank,F24-3419,ABC-749,Fabales,Fabaceae,Crotalaria,juncea,Crotalaria juncea,Herbaceous_legumes,1,91.79082092,11.63398693,88.36601307,27.94809909,29.46119416,49.23699458
1,9,Genetic bank,F24-3420,ABC-768,Fabales,Fabaceae,Clitoria,ternatea,Clitoria ternatea,Herbaceous_legumes,1,92.1,8.729641694,91.27035831,29.46000546,25.50083329,53.02758632
1,10,Genetic bank,F24-3420,ABC-768,Fabales,Fabaceae,Clitoria,ternatea,Clitoria ternatea,Herbaceous_legumes,1,92.23155369,8.672086721,91.32791328,29.46000546,25.95289139,55.3898391
1,11,Genetic bank,F24-3421,ABC-772,Fabales,Fabaceae,Clitoria,ternatea,Clitoria ternatea,Herbaceous_legumes,1,91.48085191,6.153677998,93.846322,18.97317122,16.19061161,68.96562435
1,12,Genetic bank,F24-3421,ABC-772,Fabales,Fabaceae,Clitoria,ternatea,Clitoria ternatea,Herbaceous_legumes,1,91.49085091,6.207650273,93.79234973,18.97317122,17.2935295,65.87084445
1,13,Genetic bank,F24-3422,ABC-819,Fabales,Fabaceae,Indigofera,suffruticosa,Indigofera suffruticosa,Herbaceous_legumes,1,90.75,17.06887052,82.93112948,26.78170271,25.19997454,52.93970501
1,14,Genetic bank,F24-3422,ABC-819,Fabales,Fabaceae,Indigofera,suffruticosa,Indigofera suffruticosa,Herbaceous_legumes,1,90.76,17.04495372,82.95504628,26.78170271,26.97372917,53.16123389
1,15,Genetic bank,F24-3423,ABC-905,Fabales,Fabaceae,Canavalia,brasiliensis,Canavalia brasiliensis,Herbaceous_legumes,1,91.85,14.61077844,85.38922156,24.61245901,16.6837954,37.10603201
1,16,Genetic bank,F24-3423,ABC-905,Fabales,Fabaceae,Canavalia,brasiliensis,Canavalia brasiliensis,Herbaceous_legumes,1,91.91161768,14.4566518,85.5433482,24.61245901,17.47960642,36.0165929
1,17,Genetic bank,F24-3424,ABC-913,Fabales,Fabaceae,Cajanus,cajan,Cajanus cajan,Shrub_Trees,1,94.74,9.193582436,90.80641756,25.17714256,39.66617808,59.68853241
1,18,Genetic bank,F24-3424,ABC-913,Fabales,Fabaceae,Cajanus,cajan,Cajanus cajan,Shrub_Trees,1,94.80155953,9.216492671,90.78350733,25.17714256,41.1819606,62.03477938
1,19,Genetic bank,F24-3425,ABC-955,Fabales,Fabaceae,Clitoria,ternatea,Clitoria ternatea,Herbaceous_legumes,1,91.80081992,5.674763098,94.3252369,22.01184157,21.79751615,62.34385176
1,20,Genetic bank,F24-3425,ABC-955,Fabales,Fabaceae,Clitoria,ternatea,Clitoria ternatea,Herbaceous_legumes,1,91.83,5.71708592,94.28291408,22.01184157,21.29660663,61.00237303
1,21,Genetic bank,F24-3441,ABC-7714,Fabales,Fabaceae,Alysicarpus,glumaceus,Alysicarpus glumaceus,Herbaceous_legumes,3,93.0,17.52688172,82.47311828,20.28455956,27.92187461,52.4951478
